survey_id,company_id,response_date,primary_pain_point,secondary_pain_point,budget_band,urgency_timeline,prev_advisory_firm,satisfaction_current_advisory,nps_score,key_decision_maker,digital_readiness_score,willing_to_retainer,raised_funding_before,target_raise_usd,service_selected
SV0001,CO0203,2022-10-06,Working capital,Regulatory compliance,$5K-$15K,1-3 months,None,2,4,CEO,4,0,0,2860000,M&A Advisory
SV0002,CO0495,2023-04-13,Working capital,Valuation clarity,$5K-$15K,1-3 months,International bank,2,4,CEO,5,1,0,760000,Due Diligence
SV0003,CO0233,2021-09-05,M&A targets,Working capital,$5K-$15K,1-3 months,Local boutique,2,4,Founder,5,1,1,4120000,M&A Advisory
SV0004,CO0245,2024-01-03,M&A targets,Strategic planning,$50K-$150K,No urgency,None,4,3,Board Member,4,1,1,11760000,Investor Matching
SV0005,CO0209,2023-01-04,Access to capital,Regulatory compliance,<$5K,6-12 months,None,4,7,COO,1,0,0,3970000,M&A Advisory
SV0006,CO0248,2022-03-02,Working capital,Access to capital,>$150K,6-12 months,In-house only,3,2,CFO,2,0,1,6740000,Investor Matching
SV0007,CO0295,2023-07-15,Regulatory compliance,Access to capital,$15K-$50K,Immediate,International bank,2,3,CFO,3,0,0,8960000,Investor Matching
SV0008,CO0327,2022-09-24,Valuation clarity,Strategic planning,$50K-$150K,6-12 months,None,3,0,Founder,2,1,1,10330000,Fundraising
SV0009,CO0383,2023-08-07,M&A targets,Investor network,$5K-$15K,6-12 months,None,2,6,Board Member,1,0,1,19470000,M&A Advisory
SV0010,CO0158,2022-06-27,Regulatory compliance,Access to capital,$5K-$15K,3-6 months,International bank,1,0,CFO,1,0,0,1820000,Fundraising
SV0011,CO0405,2021-09-03,M&A targets,Regulatory compliance,$50K-$150K,1-3 months,Local boutique,5,1,Founder,5,1,1,1460000,Investor Matching
SV0012,CO0001,2021-07-05,M&A targets,Strategic planning,<$5K,1-3 months,None,5,10,Founder,2,0,1,6570000,M&A Advisory
SV0013,CO0217,2021-11-19,Access to capital,Investor network,<$5K,6-12 months,Local boutique,2,6,Board Member,1,0,1,6090000,M&A Advisory
SV0014,CO0416,2024-11-06,Working capital,M&A targets,$5K-$15K,3-6 months,Big 4,3,0,CFO,2,0,1,6520000,Fundraising
SV0015,CO0249,2022-09-16,Valuation clarity,Access to capital,>$150K,6-12 months,International bank,4,10,CFO,1,0,0,19840000,Fundraising
SV0016,CO0392,2024-12-14,Valuation clarity,Investor network,$15K-$50K,3-6 months,None,2,2,CFO,3,0,0,3030000,Investor Matching
SV0017,CO0069,2024-11-28,Investor network,Regulatory compliance,$15K-$50K,1-3 months,Big 4,2,5,CEO,1,1,0,4590000,Investor Matching
SV0018,CO0030,2024-05-20,Strategic planning,Access to capital,$15K-$50K,6-12 months,None,4,5,CFO,2,1,0,1130000,M&A Advisory
SV0019,CO0115,2021-03-24,Working capital,Strategic planning,$5K-$15K,Immediate,In-house only,2,5,COO,5,1,0,25380000,M&A Advisory
SV0020,CO0008,2022-03-17,Strategic planning,Access to capital,$50K-$150K,3-6 months,International bank,1,10,CEO,2,0,1,2140000,Strategic Advisory
SV0021,CO0369,2022-11-03,Strategic planning,Access to capital,$5K-$15K,No urgency,Local boutique,4,1,CEO,4,1,0,2200000,Strategic Advisory
SV0022,CO0275,2021-10-31,Access to capital,M&A targets,$50K-$150K,6-12 months,Local boutique,1,1,CEO,2,0,1,2120000,Due Diligence
SV0023,CO0492,2021-07-06,Regulatory compliance,Investor network,$5K-$15K,1-3 months,Big 4,5,5,CEO,3,0,1,1570000,Investor Matching
SV0024,CO0315,2024-12-27,Access to capital,M&A targets,$5K-$15K,1-3 months,In-house only,4,9,Founder,3,1,1,1450000,Due Diligence
SV0025,CO0439,2022-05-24,Strategic planning,Valuation clarity,$15K-$50K,3-6 months,None,4,4,COO,3,0,1,1780000,Due Diligence
SV0026,CO0414,2022-12-30,Strategic planning,M&A targets,$5K-$15K,6-12 months,International bank,3,6,Board Member,1,0,1,770000,Fundraising
SV0027,CO0335,2023-03-23,Regulatory compliance,Valuation clarity,$15K-$50K,3-6 months,None,3,6,CFO,3,1,1,1370000,Fundraising
SV0028,CO0036,2023-11-18,Valuation clarity,Strategic planning,$5K-$15K,3-6 months,None,4,4,CEO,2,1,1,21060000,Strategic Advisory
SV0029,CO0311,2021-04-11,Investor network,Strategic planning,$5K-$15K,1-3 months,Big 4,5,7,Board Member,5,0,1,6260000,Due Diligence
SV0030,CO0044,2024-10-18,Investor network,Valuation clarity,$15K-$50K,6-12 months,International bank,2,9,Founder,3,0,1,7570000,Strategic Advisory
SV0031,CO0155,2022-09-05,Valuation clarity,Access to capital,$15K-$50K,6-12 months,International bank,3,5,Board Member,2,0,0,9740000,Investor Matching
SV0032,CO0077,2022-06-17,M&A targets,Working capital,<$5K,No urgency,Local boutique,5,4,CEO,1,1,1,18780000,M&A Advisory
SV0033,CO0078,2021-12-23,Access to capital,Working capital,$15K-$50K,1-3 months,Big 4,5,3,COO,1,0,1,510000,Fundraising
SV0034,CO0101,2021-03-05,Investor network,Access to capital,$5K-$15K,6-12 months,In-house only,3,6,Board Member,5,0,0,880000,Investor Matching
SV0035,CO0438,2023-04-09,Working capital,Regulatory compliance,$5K-$15K,1-3 months,None,2,3,CEO,5,1,0,1340000,Investor Matching
SV0036,CO0432,2023-07-16,Strategic planning,Working capital,$5K-$15K,3-6 months,International bank,3,4,CEO,2,1,1,1880000,Fundraising
SV0037,CO0030,2024-02-13,M&A targets,Valuation clarity,>$150K,6-12 months,Local boutique,5,4,CFO,5,0,1,2220000,Fundraising
SV0038,CO0039,2024-02-01,Regulatory compliance,M&A targets,$15K-$50K,1-3 months,Big 4,1,0,CFO,5,0,0,1920000,Due Diligence
SV0039,CO0239,2022-05-27,Working capital,Investor network,$5K-$15K,1-3 months,None,3,0,COO,1,1,1,3740000,Strategic Advisory
SV0040,CO0013,2021-07-13,Investor network,Strategic planning,$15K-$50K,6-12 months,Big 4,5,2,CFO,2,1,1,3110000,Investor Matching
SV0041,CO0122,2023-08-05,Regulatory compliance,Valuation clarity,$50K-$150K,3-6 months,None,3,10,COO,5,0,1,1460000,Due Diligence
SV0042,CO0144,2021-07-28,M&A targets,Strategic planning,$5K-$15K,Immediate,None,5,2,Founder,2,0,1,340000,Due Diligence
SV0043,CO0172,2021-10-14,Regulatory compliance,Strategic planning,$50K-$150K,1-3 months,None,2,1,Founder,3,0,1,1110000,Investor Matching
SV0044,CO0455,2021-09-06,M&A targets,Valuation clarity,$5K-$15K,3-6 months,None,5,1,CFO,1,0,1,1730000,Investor Matching
SV0045,CO0368,2021-01-25,Regulatory compliance,M&A targets,$50K-$150K,No urgency,Local boutique,4,5,Founder,1,1,0,2340000,M&A Advisory
SV0046,CO0247,2021-05-07,Access to capital,Working capital,$15K-$50K,1-3 months,International bank,1,0,Board Member,1,0,1,970000,Strategic Advisory
SV0047,CO0247,2022-04-01,Investor network,Strategic planning,$5K-$15K,6-12 months,None,5,5,Board Member,4,1,1,1840000,Investor Matching
SV0048,CO0411,2021-09-25,Investor network,Regulatory compliance,$5K-$15K,Immediate,Big 4,3,4,Board Member,2,1,1,970000,Fundraising
SV0049,CO0045,2022-02-10,Strategic planning,Valuation clarity,>$150K,1-3 months,Big 4,3,5,Founder,3,1,1,2650000,M&A Advisory
SV0050,CO0253,2023-04-01,M&A targets,Access to capital,$50K-$150K,1-3 months,Big 4,5,4,Board Member,5,0,0,1030000,Strategic Advisory
SV0051,CO0375,2023-02-02,Regulatory compliance,Access to capital,$15K-$50K,6-12 months,International bank,4,6,COO,3,1,1,1280000,Fundraising
SV0052,CO0291,2024-11-06,Valuation clarity,Investor network,<$5K,1-3 months,Local boutique,5,0,CEO,2,0,0,810000,Fundraising
SV0053,CO0207,2024-07-14,Strategic planning,Access to capital,$5K-$15K,6-12 months,International bank,2,2,CFO,1,1,0,2570000,Strategic Advisory
SV0054,CO0412,2024-08-13,Working capital,Regulatory compliance,$5K-$15K,3-6 months,Big 4,4,5,COO,4,1,0,1260000,M&A Advisory
SV0055,CO0483,2021-06-22,Working capital,Strategic planning,<$5K,No urgency,Local boutique,5,0,Board Member,2,0,0,7430000,Fundraising
SV0056,CO0007,2024-04-07,Strategic planning,M&A targets,$15K-$50K,6-12 months,Big 4,1,10,CEO,2,0,1,4500000,Due Diligence
SV0057,CO0446,2024-04-15,Investor network,M&A targets,$50K-$150K,6-12 months,International bank,4,10,CFO,5,0,0,2800000,Strategic Advisory
SV0058,CO0242,2022-06-15,Regulatory compliance,M&A targets,$15K-$50K,6-12 months,In-house only,5,6,COO,3,1,0,1350000,Strategic Advisory
SV0059,CO0110,2021-06-03,Regulatory compliance,Investor network,$5K-$15K,3-6 months,Local boutique,1,3,CFO,3,1,1,4390000,Investor Matching
SV0060,CO0114,2021-02-14,Access to capital,Investor network,$15K-$50K,6-12 months,International bank,5,2,Founder,5,1,0,5990000,M&A Advisory
SV0061,CO0307,2021-05-13,Working capital,Valuation clarity,>$150K,1-3 months,None,2,9,Board Member,4,1,0,3460000,Due Diligence
SV0062,CO0302,2022-02-09,Valuation clarity,M&A targets,$15K-$50K,Immediate,In-house only,3,8,COO,1,0,0,14910000,Due Diligence
SV0063,CO0276,2024-08-15,Investor network,Strategic planning,$15K-$50K,3-6 months,None,5,0,COO,1,1,0,4750000,Investor Matching
SV0064,CO0096,2023-06-28,Access to capital,Valuation clarity,>$150K,1-3 months,None,4,7,CEO,4,1,0,7480000,Fundraising
SV0065,CO0294,2021-09-21,Valuation clarity,Investor network,$50K-$150K,1-3 months,None,5,0,CEO,5,1,0,3430000,Fundraising
SV0066,CO0189,2021-07-08,Investor network,Working capital,<$5K,3-6 months,In-house only,5,4,CEO,2,1,1,5900000,Due Diligence
SV0067,CO0360,2022-11-11,Access to capital,Working capital,$5K-$15K,1-3 months,In-house only,5,9,CFO,3,1,0,1350000,M&A Advisory
SV0068,CO0288,2021-09-08,Valuation clarity,Working capital,>$150K,3-6 months,In-house only,5,7,Board Member,2,1,0,1900000,Fundraising
SV0069,CO0154,2021-03-29,Investor network,Strategic planning,$15K-$50K,Immediate,International bank,4,5,CFO,3,1,1,4250000,Strategic Advisory
SV0070,CO0058,2023-08-03,Working capital,Regulatory compliance,<$5K,No urgency,Big 4,4,6,Board Member,2,1,1,4220000,Investor Matching
