investor_id,investor_type,country,geo_preference,sector_preference,stage_preference,min_ticket_usd,max_ticket_usd,deals_closed_total,avg_irr_expected_pct,esg_focused,active_status,registered_date
INV0001,VC Fund,India,UAE+India,"AgriTech, Retail, EdTech","Series A, Seed",100000,1100000,30,26.3,0,Dormant,2024-05-18
INV0002,VC Fund,Singapore,Global,"Retail, NBFC, Logistics","Seed, Series A, Profitable SME",1000000,11000000,18,36.1,0,Active,2022-01-05
INV0003,Family Office,UAE,UAE Only,"Logistics, Manufacturing","Series A, Pre-IPO",1000000,8000000,34,31.7,1,Active,2024-01-23
INV0004,Angel,Saudi Arabia,GCC,"AgriTech, NBFC, HealthTech","Seed, Series A",10000000,80000000,28,38.1,0,Active,2022-08-25
INV0005,Angel,UAE,UAE+India,"EdTech, Real Estate","Seed, Series A",5000000,40000000,0,25.1,0,Passive,2022-10-20
INV0006,Private Equity,India,GCC,"ECommerce, EdTech","Growth, Pre-IPO, Seed",100000,1800000,3,37.5,0,Passive,2021-07-30
INV0007,VC Fund,UAE,India Only,Real Estate,"Seed, Growth, Pre-IPO",1000000,19000000,27,26.2,1,Passive,2021-06-13
INV0008,Family Office,Bahrain,UAE Only,"Manufacturing, AgriTech, Retail, Real Estate","Pre-IPO, Profitable SME",10000000,150000000,17,42.9,0,Active,2022-11-03
INV0009,VC Fund,India,UAE+India,EdTech,Growth,100000,900000,25,27.0,0,Passive,2024-09-15
INV0010,VC Fund,UAE,GCC,"Real Estate, CleanEnergy, Fintech, ECommerce","Series A, Pre-IPO, Seed",5000000,45000000,39,26.2,0,Active,2022-08-29
INV0011,Private Equity,UAE,UAE+India,"Fintech, Manufacturing, Logistics, Real Estate","Profitable SME, Pre-IPO, Series B",1000000,12000000,18,37.5,0,Active,2022-09-20
INV0012,Private Equity,India,GCC,"AgriTech, ECommerce, CleanEnergy, EdTech","Profitable SME, Seed",1000000,13000000,5,38.8,0,Active,2023-07-03
INV0013,Private Equity,Singapore,UAE+India,"EdTech, Logistics, Real Estate, Retail",Growth,1000000,6000000,0,29.4,0,Active,2024-05-19
INV0014,Family Office,Saudi Arabia,UAE+India,Real Estate,"Growth, Seed",100000,1500000,7,16.3,0,Passive,2023-05-23
INV0015,VC Fund,India,UAE+India,"SaaS, ECommerce, Real Estate","Profitable SME, Growth",100000,1100000,32,26.4,0,Dormant,2021-12-08
INV0016,VC Fund,UAE,India Only,"Retail, HealthTech",Seed,100000,500000,20,43.9,0,Active,2024-11-13
INV0017,Angel,India,GCC,Real Estate,"Pre-IPO, Series A",100000,500000,23,36.4,0,Passive,2023-06-29
INV0018,VC Fund,India,UAE+India,NBFC,Series A,10000000,80000000,24,38.4,0,Passive,2022-12-21
INV0019,Family Office,Saudi Arabia,India Only,"HealthTech, Retail, ECommerce, Fintech","Pre-IPO, Profitable SME",500000,7000000,18,11.1,0,Dormant,2023-07-05
INV0020,VC Fund,UAE,India Only,"Real Estate, Manufacturing, EdTech","Profitable SME, Series B, Growth",10000000,110000000,28,26.4,0,Active,2021-03-28
INV0021,Private Equity,India,UAE Only,"Manufacturing, ECommerce, Real Estate, Logistics","Pre-IPO, Series B, Growth",1000000,6000000,9,32.6,0,Active,2022-12-24
INV0022,VC Fund,India,Global,"Logistics, NBFC, Retail, Fintech","Pre-IPO, Growth, Seed",10000000,150000000,11,39.1,1,Active,2024-06-13
INV0023,VC Fund,Singapore,UAE Only,Manufacturing,"Seed, Pre-IPO, Series A",5000000,30000000,32,11.7,0,Passive,2023-06-10
INV0024,Family Office,Egypt,UAE+India,"SaaS, NBFC","Growth, Series A",100000,500000,6,39.8,0,Active,2022-07-17
INV0025,Sovereign Fund,Saudi Arabia,India Only,Fintech,"Series B, Growth",5000000,70000000,16,29.2,0,Active,2024-08-02
INV0026,VC Fund,India,India Only,"EdTech, Fintech","Growth, Seed",5000000,30000000,9,16.9,1,Active,2021-04-28
INV0027,Private Equity,UAE,UAE+India,"EdTech, HealthTech","Growth, Series B",1000000,17000000,30,21.1,1,Active,2021-06-03
INV0028,Angel,Saudi Arabia,UAE Only,"SaaS, NBFC, CleanEnergy, EdTech","Series B, Profitable SME, Series A",100000,1900000,5,19.9,0,Passive,2024-10-06
INV0029,Family Office,UAE,GCC,"ECommerce, Logistics, Manufacturing, HealthTech","Growth, Seed, Pre-IPO",5000000,55000000,16,28.6,0,Passive,2024-07-29
INV0030,NBFC,UAE,UAE+India,HealthTech,Seed,1000000,13000000,36,11.8,0,Passive,2023-04-12
INV0031,VC Fund,UAE,UAE+India,"NBFC, CleanEnergy, Fintech","Seed, Series B",100000,1000000,17,15.5,0,Passive,2023-01-15
INV0032,HNI,Saudi Arabia,UAE Only,"CleanEnergy, SaaS, Real Estate",Pre-IPO,500000,7000000,25,38.4,0,Active,2023-11-17
